Age,Exercise,Cigarettes,Label
38.9,6.7,0,Neutral
51.4,13.2,0,Neutral
49.3,30.8,0,Good
22.6,29.6,51,Bad
42.7,2.2,0,Bad
38.7,9.5,0,Neutral
51.8,2.6,0,Neutral
36.2,18.2,40,Neutral
56.9,35.7,59,Bad
53.8,93.5,0,Good
47.8,5.1,63,Bad
29.4,33.9,0,Good
41.5,34.0,0,Good
46.1,15.7,0,Neutral
45.7,23.4,0,Neutral
45.3,11.8,22,Neutral
41.1,21.1,15,Neutral
57.6,16.4,0,Neutral
59.2,28.5,47,Neutral
54.6,15.6,9,Neutral
53.0,17.0,0,Neutral
45.8,39.9,33,Good
32.2,35.8,16,Good
44.4,18.5,2,Neutral
54.2,16.5,23,Neutral
44.3,25.3,0,Neutral
36.9,53.8,11,Good
62.8,15.1,23,Neutral
61.9,30.6,3,Good
39.9,6.5,0,Neutral
51.7,4.8,0,Neutral
53.7,14.6,0,Neutral
48.4,12.7,0,Neutral
32.4,19.4,9,Neutral
32.9,2.5,0,Bad
21.1,11.7,44,Bad
43.5,51.4,36,Good
39.8,8.4,0,Neutral
39.1,15.0,19,Neutral
33.9,23.1,0,Neutral
46.3,14.9,46,Bad
50.5,5.3,60,Bad
44.1,76.3,0,Good
43.1,3.5,0,Bad
52.3,27.7,9,Good
38.7,28.3,0,Good
39.4,33.9,55,Bad
36.6,6.3,3,Bad
49.0,4.8,0,Neutral
45.4,10.2,0,Neutral
45.9,26.0,0,Good
61.4,11.4,0,Neutral
56.7,11.2,0,Neutral
49.5,40.5,61,Bad
51.6,6.7,10,Neutral
50.0,14.4,0,Neutral
53.8,59.5,0,Good
38.1,11.2,0,Neutral
62.3,17.4,0,Neutral
40.6,11.7,27,Neutral
45.4,33.4,61,Bad
41.7,5.4,0,Neutral
51.3,4.8,52,Bad
53.7,35.6,2,Good
30.3,23.3,42,Neutral
39.9,4.1,0,Bad
37.7,44.0,26,Good
53.7,21.1,0,Neutral
36.9,8.4,50,Bad
28.1,10.1,0,Neutral
33.4,30.9,32,Neutral
54.3,12.9,0,Neutral
51.1,17.1,0,Neutral
33.8,41.1,45,Neutral
64.5,12.9,0,Neutral
58.6,26.2,0,Good
41.3,48.9,11,Good
21.8,2.2,0,Bad
36.9,12.9,0,Neutral
39.5,15.5,0,Neutral
42.7,23.6,0,Neutral
20.4,13.2,0,Neutral
48.9,6.8,7,Neutral
46.2,10.4,0,Neutral
44.5,27.6,41,Neutral
48.5,18.4,0,Neutral
37.1,11.7,15,Neutral
54.7,7.9,47,Bad
37.4,12.0,0,Neutral
24.4,7.0,58,Bad
26.7,24.4,0,Neutral
51.2,0.5,0,Bad
37.9,35.5,0,Good
61.4,7.2,25,Neutral
48.4,1.8,13,Bad
49.9,1.5,45,Bad
41.8,6.5,22,Bad
46.1,9.6,3,Neutral
21.4,27.0,0,Neutral
38.4,16.3,40,Neutral
41.8,8.1,7,Neutral
44.4,1.2,0,Bad
39.0,29.0,62,Bad
52.5,12.5,20,Neutral
43.2,49.5,16,Good
43.4,20.8,56,Bad
53.0,17.4,0,Neutral
43.1,47.4,51,Neutral
39.9,5.1,0,Bad
20.5,16.7,0,Neutral
37.3,39.0,5,Good
41.3,15.6,2,Neutral
33.4,29.3,0,Neutral
54.1,0.4,62,Bad
38.2,19.6,0,Neutral
49.6,13.8,32,Neutral
63.7,35.0,2,Good
42.3,0.0,0,Bad
53.3,27.1,31,Good
34.2,14.9,25,Neutral
44.1,57.2,31,Good
41.6,38.2,0,Good
53.1,0.6,42,Bad
30.8,29.9,0,Neutral
44.4,50.1,0,Good
41.3,13.5,0,Neutral
63.8,17.5,21,Neutral
36.5,8.4,0,Neutral
36.8,39.3,23,Good
26.7,43.5,0,Good
39.9,80.8,17,Good
38.6,10.5,48,Bad
33.3,6.5,44,Bad
30.5,5.6,0,Bad
43.6,26.6,35,Neutral
37.4,39.8,0,Good
28.8,7.6,64,Bad
46.4,29.8,0,Good
43.7,5.8,37,Bad
64.1,2.7,0,Neutral
21.6,40.8,0,Good
50.9,19.8,57,Bad
53.5,27.1,0,Good
40.9,36.4,0,Good
52.8,34.1,0,Good
54.3,11.3,20,Neutral
53.2,82.1,0,Good
36.3,6.9,6,Bad
43.4,50.0,0,Good
54.3,36.6,39,Good
62.4,19.5,54,Bad
31.5,6.8,0,Bad
54.1,7.2,12,Neutral
37.8,19.0,20,Neutral
44.6,37.3,41,Neutral
50.7,0.7,0,Bad
21.7,18.0,56,Bad
54.7,17.2,45,Bad
42.0,44.4,53,Bad
52.0,0.2,3,Bad
54.2,5.6,0,Neutral
51.5,47.8,0,Good
48.5,0.1,0,Bad
28.7,14.0,0,Neutral
39.6,8.4,0,Neutral
45.6,18.7,23,Neutral
22.3,15.3,5,Neutral
41.7,38.2,0,Good
35.6,17.0,30,Neutral
38.5,24.6,0,Neutral
62.0,1.5,0,Neutral
38.1,4.1,47,Bad
45.0,26.8,14,Neutral
37.5,32.9,0,Good
52.1,41.3,0,Good
21.2,42.7,0,Good
42.9,38.9,11,Good
29.3,9.7,0,Neutral
54.6,18.4,0,Neutral
24.6,3.7,46,Bad
39.5,34.8,19,Good
30.8,30.7,52,Bad
36.0,7.4,60,Bad
48.8,1.1,11,Bad
44.1,18.4,53,Bad
46.0,16.1,50,Bad
43.7,19.9,47,Bad
43.6,17.3,0,Neutral
46.4,4.1,0,Neutral
60.3,19.1,29,Neutral
56.7,1.3,7,Neutral
54.5,2.3,0,Neutral
52.6,0.6,11,Bad
20.6,26.3,0,Neutral
46.3,38.6,64,Bad
41.7,24.2,0,Neutral
24.5,11.7,0,Neutral
23.3,36.0,0,Good
27.9,24.1,0,Neutral
46.7,27.2,0,Good
26.6,16.2,51,Bad
50.1,11.6,45,Bad
31.0,8.5,0,Neutral
25.9,10.1,61,Bad
39.2,9.4,0,Neutral
60.4,0.3,27,Bad
50.0,25.9,30,Neutral
38.4,0.4,35,Bad
42.0,15.0,11,Neutral
57.5,50.1,0,Good
45.3,33.0,0,Good
27.3,39.0,7,Good
55.0,15.1,0,Neutral
35.0,5.4,0,Bad
31.8,23.8,28,Neutral
52.8,69.6,17,Good
38.7,32.1,0,Good
27.0,3.6,53,Bad
33.4,16.4,0,Neutral
41.7,12.4,0,Neutral
54.2,3.5,47,Bad
30.4,53.0,0,Good
57.2,22.3,41,Neutral
61.3,35.8,32,Good
37.1,6.8,0,Neutral
39.8,40.0,59,Bad
41.4,51.4,0,Good
40.8,20.5,0,Neutral
52.4,34.1,0,Good
37.8,14.6,0,Neutral
20.0,13.4,0,Neutral
50.2,94.5,0,Good
43.4,23.0,0,Neutral
41.7,30.8,22,Good
60.8,23.0,63,Bad
38.8,45.1,0,Good
56.5,16.5,0,Neutral
39.3,11.3,0,Neutral
45.2,23.6,0,Neutral
28.7,4.2,2,Bad
34.6,0.3,0,Bad
50.4,12.3,21,Neutral
34.2,29.5,0,Good
47.0,51.6,0,Good
41.9,39.1,0,Good
42.2,6.2,0,Neutral
39.6,23.3,18,Neutral
61.6,40.0,56,Bad
26.5,25.2,0,Neutral
59.5,27.6,0,Good
47.4,26.6,0,Good
51.5,38.6,20,Good
25.4,33.8,62,Bad
42.0,5.8,55,Bad
37.1,27.3,0,Neutral
40.7,12.2,34,Neutral
21.6,13.1,0,Neutral
28.4,37.4,41,Neutral
51.8,53.0,0,Good
24.0,49.3,62,Bad
20.3,11.4,63,Bad
53.3,3.7,47,Bad
62.9,19.0,21,Neutral
23.0,53.1,10,Good
23.4,31.5,11,Neutral
47.6,13.3,0,Neutral
36.4,3.2,0,Bad
41.3,36.8,4,Good
38.5,33.6,12,Good
37.7,35.4,0,Good
22.0,14.4,0,Neutral
54.7,22.8,0,Good
54.3,2.7,12,Neutral
37.7,24.8,0,Neutral
40.9,4.1,0,Bad
37.9,59.7,0,Good
23.3,70.7,39,Good
43.4,52.5,34,Good
23.8,16.8,27,Neutral
56.7,25.5,0,Good
61.2,30.4,50,Neutral
53.8,15.2,0,Neutral
51.7,22.3,40,Neutral
52.6,2.5,48,Bad
54.6,37.8,0,Good
46.0,15.7,0,Neutral
47.2,22.6,0,Neutral
30.7,5.5,0,Bad
45.4,9.9,45,Bad
54.0,35.8,0,Good
55.7,14.5,13,Neutral
30.8,96.5,35,Good
25.9,58.0,10,Good
53.1,7.7,48,Bad
54.1,35.4,0,Good
46.1,18.0,0,Neutral
52.5,19.6,32,Neutral
54.9,15.1,8,Neutral
59.6,22.6,16,Neutral
44.1,52.3,0,Good
47.8,44.8,0,Good
44.4,2.3,0,Bad
51.8,2.5,0,Neutral
35.3,9.7,8,Neutral
41.7,16.9,9,Neutral
25.7,26.3,32,Neutral
53.8,7.5,8,Neutral
30.8,25.0,0,Neutral
41.1,19.1,0,Neutral
37.7,2.6,31,Bad
50.2,7.6,48,Bad
41.9,50.1,55,Bad
38.6,2.4,51,Bad
53.4,20.4,0,Neutral
32.6,18.8,59,Bad
36.4,18.1,0,Neutral
35.1,11.3,24,Neutral
53.7,6.0,0,Neutral
33.9,14.5,20,Neutral
35.3,21.1,0,Neutral
49.4,4.7,38,Bad
48.0,57.3,6,Good
55.0,28.2,51,Bad
30.0,49.2,63,Bad
25.8,2.1,33,Bad
39.1,17.6,0,Neutral
48.2,16.9,0,Neutral
47.0,38.9,0,Good
46.8,37.7,52,Bad
51.2,12.6,0,Neutral
45.3,25.3,0,Neutral
25.7,3.1,2,Bad
52.2,17.3,0,Neutral
46.4,0.7,36,Bad
54.1,23.6,0,Good
44.0,7.7,38,Bad
27.9,88.7,0,Good
57.4,18.0,0,Neutral
47.7,20.6,0,Neutral
35.4,37.3,38,Good
22.3,12.9,9,Neutral
51.4,10.3,36,Neutral
36.4,0.6,0,Bad
27.4,58.0,53,Neutral
43.7,8.9,0,Neutral
47.2,43.1,0,Good
52.2,17.2,0,Neutral
39.7,12.6,35,Neutral
36.3,5.2,0,Bad
39.8,75.3,0,Good
36.6,13.4,15,Neutral
38.4,34.8,0,Good
51.5,29.7,32,Good
37.1,11.9,20,Neutral
35.8,25.8,0,Neutral
54.7,3.2,26,Bad
41.4,28.9,0,Good
47.8,12.9,37,Neutral
57.4,44.1,11,Good
47.9,24.8,0,Neutral
52.7,13.1,9,Neutral
37.7,9.8,28,Neutral
45.0,4.9,62,Bad
38.3,30.3,2,Good
46.4,25.4,0,Neutral
49.4,7.5,0,Neutral
26.2,16.0,61,Bad
54.7,30.9,0,Good
61.9,11.5,40,Neutral
27.1,6.2,0,Bad
36.1,4.7,0,Bad
21.3,9.0,26,Bad
48.8,47.1,0,Good
21.1,19.0,5,Neutral
42.7,1.9,32,Bad
53.3,11.5,43,Bad
50.9,25.5,0,Good
44.6,5.3,61,Bad
50.4,20.0,46,Bad
46.3,20.4,0,Neutral
40.5,2.1,31,Bad
36.4,50.2,0,Good
36.4,15.1,0,Neutral
55.6,31.7,0,Good
28.1,0.4,20,Bad
51.9,18.1,0,Neutral
48.9,31.9,32,Good
39.2,4.9,0,Bad
53.4,12.5,47,Bad
60.3,79.4,0,Good
53.0,4.9,46,Bad
45.2,11.0,61,Bad
24.8,33.5,0,Good
40.9,57.7,37,Good
51.1,93.9,0,Good
40.3,13.3,0,Neutral
44.3,13.3,56,Bad
50.4,3.6,0,Neutral
37.5,16.4,0,Neutral
44.7,47.7,50,Neutral
54.1,13.7,0,Neutral
36.9,42.4,5,Good
50.8,17.2,0,Neutral
36.2,10.7,0,Neutral
43.2,33.6,0,Good
46.3,52.7,0,Good
49.8,19.4,0,Neutral
36.2,12.3,27,Neutral
44.4,51.2,17,Good
44.5,4.8,30,Bad
56.5,11.2,0,Neutral
64.1,19.6,0,Good
35.7,20.5,48,Bad
43.0,3.6,0,Bad
37.6,45.3,0,Good
53.1,4.5,8,Neutral
27.6,14.2,0,Neutral
52.9,86.4,28,Good
41.4,2.9,25,Bad
49.4,4.6,0,Neutral
34.9,34.9,50,Bad
37.4,85.2,59,Neutral
49.1,31.2,14,Good
63.4,14.1,20,Neutral
48.1,1.4,61,Bad
36.3,10.8,0,Neutral
51.7,38.8,38,Good
23.1,22.1,0,Neutral
52.9,34.3,61,Bad
45.8,2.7,16,Bad
41.7,24.7,44,Neutral
46.8,41.0,0,Good
31.4,18.4,41,Neutral
48.9,8.2,40,Bad
52.5,1.2,0,Bad
30.8,39.7,15,Good
48.8,29.4,35,Good
47.2,5.4,0,Neutral
50.9,7.5,53,Bad
51.4,10.7,38,Neutral
36.8,6.7,4,Neutral
37.6,14.9,23,Neutral
24.5,7.4,0,Bad
36.1,14.2,0,Neutral
44.4,32.4,0,Good
36.5,38.6,8,Good
33.1,11.7,0,Neutral
48.9,49.2,0,Good
50.8,42.3,38,Good
47.3,7.7,24,Neutral
40.7,18.0,52,Bad
48.9,83.2,0,Good
36.0,15.0,4,Neutral
21.9,18.7,40,Bad
43.1,22.3,59,Bad
44.6,4.5,0,Neutral
31.0,15.6,43,Bad
40.4,1.0,0,Bad
36.2,33.5,8,Good
28.2,8.5,13,Bad
53.1,1.0,30,Bad
47.0,51.4,43,Good
49.8,11.4,0,Neutral
38.2,28.5,22,Neutral
42.5,6.4,54,Bad
41.9,61.4,45,Good
26.1,57.4,0,Good
56.0,55.4,3,Good
20.6,22.8,0,Neutral
46.2,21.3,9,Neutral
45.9,3.6,7,Bad
37.1,1.7,0,Bad
58.1,8.0,0,Neutral
24.4,26.4,0,Neutral
54.3,13.9,30,Neutral
48.1,5.2,25,Bad
47.5,5.4,0,Neutral
24.6,1.6,0,Bad
60.1,32.0,0,Good
39.3,12.8,47,Bad
33.2,29.2,35,Neutral
48.8,6.5,13,Neutral
56.7,14.9,0,Neutral
53.0,9.7,42,Bad
38.0,14.5,0,Neutral
47.2,33.9,0,Good
41.6,15.6,8,Neutral
51.7,26.5,0,Good
57.1,13.1,0,Neutral
55.0,18.2,5,Neutral
54.5,0.0,0,Bad
51.9,5.7,46,Bad
49.4,91.9,0,Good
37.0,15.2,0,Neutral
46.2,18.6,0,Neutral
51.8,0.3,16,Bad
41.8,4.6,46,Bad
23.7,13.4,36,Bad
43.0,13.6,48,Bad
45.1,37.9,3,Good
50.5,24.3,0,Good
40.4,5.4,24,Bad
35.1,14.2,0,Neutral
54.0,25.8,0,Good
22.4,20.9,0,Neutral
35.2,73.8,0,Good
50.7,0.0,40,Bad
30.7,29.9,63,Bad
42.6,2.6,0,Bad
38.1,31.7,0,Good
41.1,5.6,43,Bad
43.3,22.5,0,Neutral
34.3,13.5,0,Neutral
42.1,14.7,2,Neutral
40.3,47.0,28,Good
51.5,32.9,0,Good
49.4,0.5,0,Bad
28.6,23.6,42,Neutral
34.6,78.5,0,Good
24.8,65.6,0,Good
50.6,44.3,0,Good
28.6,9.8,19,Bad
62.7,62.6,0,Good
51.6,24.6,0,Good
41.9,16.4,33,Neutral
24.4,35.7,55,Bad
37.5,15.7,0,Neutral
39.2,10.1,12,Neutral
40.7,39.0,31,Good
52.9,17.4,26,Neutral
39.5,40.2,26,Good
49.2,36.4,0,Good
36.1,38.8,0,Good
53.7,36.2,0,Good
52.2,6.9,12,Neutral
22.3,14.1,20,Neutral
37.2,30.3,39,Neutral
23.5,12.3,13,Neutral
39.0,57.7,0,Good
49.0,19.1,0,Neutral
34.0,6.5,0,Bad
53.7,8.6,0,Neutral
35.5,19.6,36,Neutral
35.2,11.1,11,Neutral
58.5,7.1,49,Bad
27.6,14.2,47,Bad
30.0,7.9,40,Bad
38.0,95.0,64,Bad
25.8,9.6,0,Neutral
42.4,2.6,0,Bad
43.6,29.2,0,Good
62.3,13.4,0,Neutral
35.8,1.0,0,Bad
36.0,39.9,9,Good
50.8,34.0,5,Good
20.4,25.5,0,Neutral
52.1,16.1,0,Neutral
28.9,31.6,0,Good
45.2,14.8,3,Neutral
54.7,23.6,0,Good
49.8,21.0,0,Neutral
38.4,37.2,0,Good
49.2,7.1,14,Neutral
63.1,21.5,13,Good
48.4,16.8,20,Neutral
44.2,4.0,0,Bad
50.2,1.9,58,Bad
54.5,7.6,61,Bad
41.7,1.9,38,Bad
55.0,5.2,0,Neutral
54.8,9.6,57,Bad
53.0,16.5,23,Neutral
48.7,28.8,0,Good
46.0,37.7,0,Good
43.6,43.7,0,Good
62.3,27.4,51,Bad
45.7,32.7,0,Good
30.1,15.1,22,Neutral
52.6,3.2,0,Neutral
45.7,15.5,0,Neutral
21.5,25.8,18,Neutral
37.9,18.7,0,Neutral
54.9,19.9,0,Neutral
38.6,15.9,6,Neutral
39.4,15.3,38,Neutral
27.4,33.1,0,Good
41.3,52.2,27,Good
50.3,17.3,0,Neutral
37.0,48.4,28,Good
43.5,30.9,0,Good
57.3,1.6,50,Bad
61.5,16.9,0,Neutral
44.4,0.7,0,Bad
35.6,49.8,0,Good
41.1,5.3,10,Bad
59.8,17.2,0,Neutral
57.5,31.6,2,Good
35.1,47.4,0,Good
46.1,5.0,0,Neutral
35.4,97.7,0,Good
52.8,29.1,51,Bad
54.0,1.2,0,Bad
50.7,24.6,59,Bad
53.6,8.7,53,Bad
44.6,5.5,0,Neutral
29.7,30.3,0,Neutral
45.0,6.9,46,Bad
64.9,13.2,33,Neutral
40.4,24.8,0,Neutral
53.1,1.1,0,Bad
23.5,9.5,48,Bad
54.5,2.8,31,Bad
54.2,47.9,0,Good
43.7,12.0,0,Neutral
53.8,37.3,0,Good
55.0,23.3,56,Bad
38.5,35.9,0,Good
42.0,10.4,50,Bad
52.4,26.9,0,Good
38.5,30.7,0,Good
25.9,0.9,45,Bad
54.4,9.5,0,Neutral
36.9,11.9,0,Neutral
50.0,18.3,17,Neutral
22.1,2.6,34,Bad
37.1,10.4,3,Neutral
59.7,36.2,0,Good
35.6,5.2,0,Bad
48.8,48.9,0,Good
50.1,31.9,0,Good
58.3,19.8,0,Neutral
39.2,18.7,0,Neutral
28.6,27.6,62,Bad
51.8,79.6,0,Good
50.5,7.2,26,Neutral
44.2,55.0,0,Good
42.6,10.9,0,Neutral
40.4,18.2,0,Neutral
50.0,24.5,0,Good
53.7,0.0,40,Bad
46.8,8.9,17,Neutral
41.3,17.2,0,Neutral
43.6,1.4,0,Bad
53.7,11.6,38,Neutral
43.2,35.9,26,Good
38.9,66.8,0,Good
58.2,19.7,0,Neutral
51.4,6.1,0,Neutral
26.1,54.4,41,Good
39.1,56.3,6,Good
44.6,70.5,26,Good
42.0,59.4,0,Good
42.0,3.4,0,Bad
51.5,50.1,0,Good
49.5,31.2,0,Good
52.3,17.4,0,Neutral
42.4,10.7,34,Neutral
55.0,17.1,35,Neutral
53.6,14.8,0,Neutral
46.8,52.5,13,Good
37.3,35.8,56,Bad
44.0,20.7,0,Neutral
50.9,55.0,0,Good
27.6,12.4,0,Neutral
60.9,25.2,0,Good
48.8,37.2,0,Good
48.1,39.7,0,Good
27.8,9.0,0,Neutral
34.2,11.4,36,Bad
48.0,2.2,61,Bad
35.4,13.4,48,Bad
42.5,22.9,47,Bad
45.4,11.5,0,Neutral
41.6,16.0,10,Neutral
20.0,7.7,0,Bad
41.9,18.2,0,Neutral
51.1,3.7,0,Neutral
47.7,17.8,47,Bad
51.4,14.4,0,Neutral
28.5,46.4,0,Good
45.6,7.1,38,Bad
33.9,40.1,0,Good
26.2,0.2,0,Bad
41.9,14.2,0,Neutral
23.1,8.3,8,Bad
36.4,12.6,11,Neutral
27.7,33.2,0,Good
59.4,13.1,0,Neutral
25.0,6.4,0,Bad
48.6,2.9,12,Bad
51.0,34.7,0,Good
43.0,10.6,0,Neutral
33.4,43.1,0,Good
49.6,0.0,2,Bad
54.6,61.7,48,Good
51.4,1.8,27,Bad
21.6,11.3,39,Bad
50.9,10.3,34,Neutral
31.0,52.1,61,Bad
22.0,19.9,46,Bad
43.0,11.2,0,Neutral
34.0,10.4,3,Neutral
50.3,5.9,0,Neutral
50.3,31.9,5,Good
56.8,30.5,14,Good
35.0,27.5,45,Neutral
48.4,1.9,46,Bad
39.8,16.2,0,Neutral
44.6,3.7,3,Bad
51.8,1.8,0,Bad
37.8,0.7,0,Bad
44.6,2.1,0,Bad
36.3,6.0,0,Bad
47.9,14.1,32,Neutral
50.3,35.1,0,Good
38.9,18.7,0,Neutral
52.8,25.0,17,Neutral
49.4,55.0,51,Neutral
37.5,76.0,0,Good
39.6,49.7,3,Good
55.5,11.6,0,Neutral
39.2,40.9,0,Good
39.4,34.0,44,Neutral
37.1,11.7,0,Neutral
38.9,34.5,37,Good
24.3,32.9,0,Good
23.3,2.1,0,Bad
46.6,15.4,5,Neutral
39.0,8.4,7,Neutral
51.5,49.0,22,Good
52.1,29.4,33,Good
32.5,32.9,0,Good
62.0,53.0,0,Good
58.8,42.8,0,Good
43.4,1.5,54,Bad
59.3,7.6,32,Neutral
38.0,1.1,0,Bad
24.4,14.4,43,Bad
36.5,13.6,18,Neutral
36.4,57.2,0,Good
40.7,18.3,36,Neutral
24.6,5.8,0,Bad
37.7,24.6,24,Neutral
44.9,17.4,0,Neutral
36.4,4.5,53,Bad
25.4,37.0,0,Good
40.9,18.6,35,Neutral
35.3,67.4,14,Good
46.7,29.1,9,Good
46.2,68.8,0,Good
22.1,4.9,0,Bad
53.7,34.6,17,Good
46.2,7.5,20,Neutral
53.7,31.5,0,Good
44.9,22.5,0,Neutral
26.8,19.3,0,Neutral
50.2,58.0,20,Good
21.3,13.4,57,Bad
54.8,1.9,0,Neutral
46.8,8.4,58,Bad
50.5,36.7,0,Good
43.7,32.5,27,Good
52.2,15.2,0,Neutral
43.5,4.3,0,Bad
61.0,58.1,1,Good
41.2,22.0,0,Neutral
22.8,32.7,40,Neutral
40.8,16.5,0,Neutral
24.0,9.2,0,Bad
51.4,23.5,0,Neutral
38.3,1.1,0,Bad
43.5,11.9,0,Neutral
39.7,47.4,60,Bad
32.1,6.6,0,Bad
44.9,3.7,0,Bad
36.4,10.6,26,Neutral
41.4,49.4,0,Good
27.7,10.9,57,Bad
42.9,15.3,44,Bad
42.6,3.1,0,Bad
45.4,13.0,0,Neutral
41.6,21.5,46,Bad
26.4,2.6,32,Bad
37.0,10.5,30,Neutral
60.2,3.7,37,Bad
53.5,24.5,0,Good
58.8,14.3,0,Neutral
42.2,23.1,7,Neutral
49.4,2.9,14,Bad
35.0,17.5,60,Bad
43.2,11.3,21,Neutral
51.6,38.4,46,Neutral
50.5,22.4,47,Bad
36.1,89.2,38,Good
42.7,5.5,3,Neutral
38.9,37.5,53,Bad
52.2,18.1,47,Bad
38.1,18.5,0,Neutral
57.8,31.9,52,Bad
39.4,4.5,0,Bad
47.1,19.8,0,Neutral
50.6,22.7,0,Neutral
44.5,56.4,61,Bad
31.0,67.7,0,Good
62.1,23.4,33,Neutral
35.8,7.3,26,Bad
63.2,59.7,0,Good
52.8,20.3,0,Neutral
55.8,16.5,0,Neutral
38.3,33.2,4,Good
57.4,12.0,19,Neutral
42.9,7.2,0,Neutral
35.9,1.5,7,Bad
49.2,19.0,20,Neutral
44.8,8.3,0,Neutral
51.7,33.7,60,Bad
45.5,7.9,34,Neutral
54.4,24.7,16,Good
63.4,14.8,0,Neutral
53.3,11.4,0,Neutral
49.2,52.7,55,Neutral
48.8,6.8,19,Neutral
34.0,56.5,0,Good
30.5,29.2,16,Neutral
53.0,0.0,0,Bad
58.4,7.7,18,Neutral
